id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty,npxG,npxGI
603727,0,0,0,0.0,76,7688,73,DR,Max Aarons,h,0,0,603739,0,1,0,0.2469067871570587,0.2718601822853088,0.0249533932656049,2,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.2469067871570587,1,0,0.0,0.2469067871570587
603729,0,0,0,0.0,90,11486,73,DC,Illia Zabarnyi,h,0,0,0,0,0,0,0.0,0.328268438577652,0.328268438577652,3,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
603728,0,0,0,0.0,61,10864,73,DC,Marcos Senesi,h,0,0,603741,0,0,0,0.0,0.2469067871570587,0.2469067871570587,3,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
603730,0,0,0,0.0,90,11709,73,DL,Milos Kerkez,h,0,0,0,0,1,0,0.031898908317089,0.0745670422911644,0.0745670422911644,4,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.031898908317089,1,0,0.0,0.031898908317089
603732,0,0,1,0.025902098044753,90,561,73,DMC,Joe Rothwell,h,0,0,0,0,1,0,0.0213855523616075,0.0,0.0,7,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0472876504063606,1,0,0.025902098044753,0.0472876504063605
603731,0,0,2,0.0814730152487754,90,6034,73,DMC,Philip Billing,h,0,0,0,0,1,0,0.0249533932656049,0.0568523034453392,0.031898908317089,7,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.1064264085143804,1,0,0.0814730152487754,0.1064264085143803
603733,0,0,4,0.0935443416237831,76,6820,73,AMR,David Brooks,h,0,0,603738,0,1,0,0.0168536957353353,0.0935443416237831,0.0,11,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.1103980373591184,1,0,0.0935443416237831,0.1103980373591184
603734,0,0,1,0.0168536957353353,68,10744,73,AMC,Ryan Christie,h,0,0,603740,0,1,0,0.025902098044753,0.0,0.0,12,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0427557937800884,1,0,0.0168536957353353,0.0427557937800883
603735,0,0,0,0.0,61,10746,73,AML,Jaidon Anthony,h,0,0,603737,0,0,0,0.0,0.0,0.0,13,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
603736,1,0,3,1.2082340717315674,90,1679,73,FW,Dominic Solanke,h,0,0,0,0,2,0,0.0813616588711738,1.2895957231521606,0.0,15,22277,2,Bournemouth,1.51025,1.4834,1.51025,1.2895957306027412,1,0,1.2082340717315674,1.2895957306027412
