id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty_attempt,penalty_scored,npxG,npxGI
666401,0,0,0,0.0,90,1297,73,GK,Neto,a,0,0,0,0,0,0,0.0,0.4283316135406494,0.4283316135406494,1,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666402,0,0,0,0.0,74,825,73,DR,Adam Smith,a,0,0,666413,0,0,0,0.0,0.0574959442019462,0.0574959442019462,2,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666403,0,0,0,0.0,90,11943,73,DC,Dean Huijsen,a,0,0,0,0,0,0,0.0,0.0176343526691198,0.0176343526691198,3,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666404,0,0,0,0.0,90,11486,73,DC,Illia Zabarnyi,a,0,0,0,0,0,0,0.0,0.0954376831650734,0.0954376831650734,3,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666405,0,0,0,0.0,90,11709,73,DL,Milos Kerkez,a,1,0,0,0,1,0,0.0262943692505359,0.139366403222084,0.1130720302462577,4,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0262943692505359,1,0,0,0.0,0.0262943692505359
666406,0,0,0,0.0,74,12149,73,DMC,Alex Scott,a,0,0,666416,0,1,0,0.056976992636919,0.1144729331135749,0.0574959442019462,7,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.056976992636919,1,0,0,0.0,0.056976992636919
666407,0,0,0,0.0,90,1789,73,DMC,Lewis Cook,a,1,0,666412,0,1,0,0.4425158202648163,0.0,0.0,7,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.4425158202648163,1,0,0,0.0,0.4425158202648163
666408,0,0,1,0.4425158202648163,80,9662,73,AMR,Dango Ouattara,a,0,0,666415,0,0,0,0.0,0.4872284531593323,0.4872284531593323,11,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.4425158202648163,1,0,0,0.4425158202648163,0.4425158202648163
666409,0,0,5,0.2693653106689453,90,10741,73,AMC,Marcus Tavernier,a,0,0,0,0,3,0,0.4283316135406494,0.6428412795066833,0.0,12,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.6976969242095947,1,0,0,0.2693653106689453,0.6976969242095947
666410,0,0,2,0.4106972515583038,75,10866,73,AML,Luis Sinisterra,a,0,0,666414,0,0,0,0.0,0.4106972515583038,0.0,13,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.4106972515583038,1,0,0,0.4106972515583038,0.4106972515583038
666411,1,0,5,0.7865713238716125,90,11363,73,FW,Antoine Semenyo,a,0,0,0,0,0,0,0.0,0.8652406930923462,0.0786693543195724,15,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.7865713238716125,1,0,0,0.7865713238716125,0.7865713238716125
666414,0,0,0,0.0,15,6963,73,Sub,Justin Kluivert,a,1,0,0,666410,0,0,0.0,0.0,0.0,17,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666412,0,0,0,0.0,1,6034,73,Sub,Philip Billing,a,0,0,0,666407,0,0,0.0,0.0,0.0,17,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666415,0,0,0,0.0,10,9509,73,Sub,Daniel Jebbison,a,0,0,0,666408,1,0,0.0211734101176261,0.0211734101176261,0.0,17,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0211734101176261,1,0,0,0.0,0.0211734101176261
666413,0,0,0,0.0,16,11745,73,Sub,Julián Araujo,a,0,0,0,666402,0,0,0.0,0.0211734101176261,0.0211734101176261,17,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666416,0,0,0,0.0,16,10744,73,Sub,Ryan Christie,a,0,0,0,666406,0,0,0.0,0.0262943692505359,0.0262943692505359,17,26607,2,Bournemouth,1.24405,1.90915,1.90915,0.0,1,0,0,0.0,0.0
666793,0,0,0,0.0,90,7047,244,GK,Mark Flekken,h,0,0,0,0,0,0,0.0,0.1316772401332855,0.1316772401332855,1,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666794,0,0,0,0.0,90,9685,244,DR,Mads Roerslev,h,0,0,0,0,0,0,0.0,0.1316772401332855,0.1316772401332855,2,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666796,0,1,1,0.0112950010225176,90,9678,244,DC,Ethan Pinnock,h,0,0,0,0,0,0,0.0,0.1316772401332855,0.1316772401332855,3,26609,3,Brentford,1.38064,1.14757,1.38064,0.0112950010225176,1,0,0,0.0112950010225176,0.0112950010225176
666795,0,0,1,0.0910479202866554,90,9733,244,DC,Nathan Collins,h,0,0,0,0,0,0,0.0,0.2227251529693603,0.1316772401332855,3,26609,3,Brentford,1.38064,1.14757,1.38064,0.0910479202866554,1,0,0,0.0910479202866554,0.0910479202866554
666797,0,0,1,0.373125821352005,90,9677,244,DL,Kristoffer Ajer,h,0,0,0,0,0,0,0.0,0.5093995332717896,0.1362737268209457,4,26609,3,Brentford,1.38064,1.14757,1.38064,0.373125821352005,1,0,0,0.373125821352005,0.373125821352005
666799,0,0,0,0.0,87,7166,244,MC,Mathias Jensen,h,0,0,666805,0,1,0,0.0223731342703104,0.1586468666791916,0.1362737268209457,9,26609,3,Brentford,1.38064,1.14757,1.38064,0.0223731342703104,1,0,0,0.0,0.0223731342703104
666800,0,0,2,0.0615095645189285,77,9680,244,MC,Vitaly Janelt,h,0,0,666804,0,1,0,0.0112950010225176,0.0964313894510269,0.0740582570433616,9,26609,3,Brentford,1.38064,1.14757,1.38064,0.0728045655414462,1,0,0,0.0615095645189285,0.0728045655414462
666798,0,0,0,0.0,90,7083,244,MC,Christian Nørgaard,h,0,0,0,0,1,0,0.0786547511816024,0.210331991314888,0.1316772401332855,9,26609,3,Brentford,1.38064,1.14757,1.38064,0.0786547511816024,1,0,0,0.0,0.0786547511816024
666801,1,0,1,0.0740582570433616,90,6552,244,FWR,Bryan Mbeumo,h,0,0,666807,0,3,0,0.4698812365531921,0.5048030614852905,0.0,14,26609,3,Brentford,1.38064,1.14757,1.38064,0.5439394935965538,1,0,0,0.0740582570433616,0.5439394935965538
666802,1,0,2,0.7543930411338806,87,5786,244,FW,Yoane Wissa,h,1,0,666806,0,1,1,0.0740582570433616,0.8284512758255005,0.0740582570433616,15,26609,3,Brentford,1.38064,1.14757,1.38064,0.8284512981772423,1,0,0,0.7543930411338806,0.8284512981772423
666803,0,0,1,0.0786547511816024,77,9156,244,FWL,Kevin Schade,h,0,0,666808,0,0,0,0.0,0.0786547511816024,0.0,16,26609,3,Brentford,1.38064,1.14757,1.38064,0.0786547511816024,1,0,0,0.0786547511816024,0.0786547511816024
