player_id,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38,minutes
453,6.596765899402936,6.300428245793849,5.923248914852344,4.949738868042618,6.222553448998243,0.0,0.0,6.175901938823285,0.0,3.8926628923207165,8.749483847036712,4.32217558289734,5.583465492951892,0.0,5.897858719870156,4.143238816917951,5.674764981361497,5.31696353214412,6.297544171382081,0.0,4.50319853123573,5.943625005505565,8.101314642842704,5.696467189278436,6.14245199508255,5.670691081466167,5.479571855147679,5.4812388522101045,4.547212990335748,5.101074745324106,7.772882578620413,5.228117567800612,5.388726124412623,4.327989619883807,5.614054672090677,5.733878277169878,5.046273734708513,5.551336434760163,80.04761904761905
486,0.0,0.0,0.0,0.0,1.9468495064353462,0.0,0.0,0.0,1.5095568025628188,1.818043929649339,1.7115137377853942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4742503593757141,1.3350831489835584,1.6876902682462676,1.6151495814112782,1.507632479227633,1.5909247485258537,1.5862472444935565,1.4981557381942054,1.700341394788643,1.5536300611714426,1.5057166447380914,1.391666498675056,55.25
489,2.6657421046846888,3.0080155480120356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7991159454163608,2.7683653772656456,2.6122925024087147,2.876167198843441,2.704274479346211,3.351328200290336,2.7278471499344112,3.137181978308323,2.872145389772594,2.8140525493417368,2.5733471439400204,2.720257218822804,76.5
500,4.1104915602286525,4.580207043470534,4.109843967817906,3.875671662957581,3.9197353084749493,4.045493449478173,3.3015276807442655,4.566368335205143,4.471720408492354,4.869673975090103,4.280151263867376,5.201324049374389,3.766084812789434,4.644107333011118,4.300219314006493,3.6435781812486363,5.997839653076045,4.161260228479799,4.448496873965921,4.682391322363635,4.271250732802401,3.013404396848836,4.750512944606912,3.807062742896553,4.02832668474373,4.13200107345496,3.748336466213549,3.550705231760217,4.049118021029642,3.1496414725297326,3.4087158289828574,3.4676927719516186,3.921084355445372,4.451652785966164,3.5635528679283133,4.006216182896806,3.654756434956699,3.8116014731481687,84.11538461538461
501,3.201693475546954,3.8260288348584726,3.2813962331448256,4.530404636633693,3.915739347255416,3.794990751657973,3.7487868220961333,4.339831644182508,5.129930177512351,3.9594990293244736,4.6531809813755745,4.632234446798044,5.751178035865695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0028384762618465,4.790558300309478,3.6628352988709083,4.38075017204541,0.0,4.252858956589844,3.8787257837998155,3.863132859866946,4.365029502040171,3.9791970497200215,5.1662209991955645,4.016091073573564,4.820549206416571,4.305704928615583,4.019271792424112,3.749999742727233,4.119570317606345,82.58823529411765
531,3.878712986147801,3.1112828052284125,3.2093033828704174,2.0152187299059907,0.0,3.316811168031108,3.95637518665321,3.2602681790412547,3.948490252291393,1.9363515744729884,3.8157753752997197,3.5864450273564907,3.137346433392407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9580879652634495,3.403308212034351,3.1196033389505002,3.2186430906661476,3.369238104197978,2.8690634726415576,4.3403772305995725,3.1273841813786984,3.5722597595289463,3.2529364043419164,3.2875428783536655,3.57300967619468,64.16666666666667
534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.748931065681767,2.406684403151397,2.352358260142468,0.0,2.395010531551328,3.5966434717434543,2.829887041349198,3.0099110099529596,2.942488163829485,2.6444103818497275,2.254771727449589,3.5712673810197755,2.5986543647511104,2.8181961682177663,2.717748546587549,2.9998815588353365,3.17112730433882,80.25
556,3.343364105512253,2.696354759574627,2.8092255643410553,3.1448616150252477,0.0,3.1878359535871055,2.7198364747033805,3.369681006175297,1.9255774255824005,3.0055364116071903,2.5870059699130215,3.3846440038879946,3.7403594770375825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082384654579166,2.445729195654174,4.36242905120711,4.409729611819663,0.0,4.258881118135394,4.614782749907124,5.564540497826241,4.742922828984383,4.197468630685747,4.356480603054202,4.191720190562962,4.995022598353035,4.48353332229086,74.28571428571429
579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442583990002488,0.0,2.3426948460729378,2.831068790565389,3.6265888563399398,0.0,0.0,0.0,4.068474194454701,3.572408417665882,3.3332673191567825,2.901299715606866,0.0,0.0,0.0,0.0,2.669385586630606,2.827086211012959,3.0306585134292123,3.293254542023802,4.007025351198925,3.0733510645809425,3.312731961009435,3.419161027409822,3.1388315019205764,3.733080252775159,3.5502804368819927,2.9730966732511317,2.976756467323034,75.0
585,0.0,0.0,4.446020782275934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.805574831923325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140725927227344,4.5001347475884605,5.130221334481,3.305125258840831,3.978209825980422,4.067183720167356,4.305256067031048,3.8209205438934144,5.664877627790807,3.9216097965374725,5.93785277313725,3.938547888004384,89.5
586,0.0,0.0,0.0,4.881279994344488,0.0,0.0,0.0,4.506148109541819,0.0,0.0,0.0,2.7202854570709367,0.0,0.0,0.0,0.0,2.0553558491493114,0.0,0.0,0.0,0.0,0.0,0.0,2.9852843161098885,3.6350474173273395,0.0,3.371857037359507,3.528372556286957,3.8570637014250386,4.693737141145301,3.6117335902581797,3.894055984699212,3.9294968230104614,3.716890142220547,4.32132118577965,4.222002420395388,3.535943365965531,3.448107279377043,73.83333333333333
